# 商品评论数据集（英文）

id,product_type,rating,text
1,laptop,5,"This laptop exceeded all my expectations the processor is incredibly fast and handles multiple applications seamlessly I love the crisp display and long battery life perfect for both work and entertainment highly recommend"
2,laptop,4,"Good value for money the laptop runs smoothly for everyday tasks though it can get warm during extended gaming sessions customer service was helpful when I had questions about setup"
3,laptop,2,"Disappointed with the build quality the keyboard started malfunctioning after three months and the screen has dead pixels contacting support was frustrating and resolution took weeks"
4,headphones,5,"Best wireless headphones I have ever owned the noise cancellation is amazing and they are so comfortable for long listening sessions battery lasts all day and sound quality is rich and clear"
5,headphones,4,"Great sound quality and stylish design though the touch controls can be finicky sometimes the ear cups are a bit small for larger ears but overall a solid purchase"
6,headphones,3,"Average product the noise cancellation works but not as well as more expensive alternatives they feel cheap and broke after a few months of regular use not worth the price"
7,smartphone,5,"Amazing camera system takes beautiful photos even in low light the processor handles games flawlessly and the battery easily lasts a full day fast charging is a lifesaver"
8,smartphone,4,"Good phone overall love the display and software features though the lack of expandable storage is disappointing and the facial recognition can be slow in certain lighting conditions"
9,smartphone,3,"Too many bloatware apps preinstalled that cannot be removed the battery life is not as advertised and the phone overheats during video recording disappointed for the premium price"
10,tablet,5,"Perfect for reading and media consumption the screen is gorgeous and the speakers produce excellent audio battery life is impressive and the stylus works great for note taking"
11,tablet,4,"Solid tablet for entertainment purposes the Kids mode is a nice feature though I wish it came with more built in storage performance is smooth for streaming and casual gaming"
12,tablet,2,"Tablet was DOA out of the box and replacement took forever to arrive when I finally got a working unit it randomly restarted and apps crashed frequently avoid this model"
13,smartwatch,5,"This smartwatch changed how I track my fitness the activity tracking is accurate and the heart rate monitor helped me improve my workouts integration with my phone is seamless"
14,smartwatch,4,"Good fitness tracking features though the battery could last longer between charges the interface is intuitive and I like being able to respond to messages from my wrist"
15,smartwatch,3,"Basic smart features but nothing special the fitness tracking is not as accurate as dedicated fitness trackers and the screen is hard to read in sunlight would not buy again"
16,camera,5,"Professional grade photos from a compact camera the autofocus is lightning fast and image quality rivals my DSLR which I now use much less often worth every penny"
17,camera,4,"Great camera for beginners and enthusiasts alike menu system can be overwhelming at first but once learned it offers tremendous creative control lightweight and portable"
18,camera,2,"Autofocus issues from day one the camera frequently missed focus especially in low light customer support was unhelpful and repairs were not covered under warranty very disappointing"
19,headphones,5,"Perfect for music production flat frequency response allows accurate mixing these are now my go to studio headphones the detachable cable is convenient and build quality is excellent"
20,headphones,4,"Comfortable for long sessions and the sound isolation is impressive perfect for musicians and audio engineers though they are a bit heavy on the head"
21,laptop,5,"This laptop is a powerhouse video editing and 3D rendering are a breeze the color accurate display is essential for my design work highly recommend for creative professionals"
22,laptop,3,"Good specs on paper but thermal throttling is a serious issue the laptop slows down significantly under heavy load and the fans are extremely loud disappointing performance for the price"
23,smartphone,5,"Best Android phone available the customization options are endless and the camera system is phenomenal stock Android experience is clean with no unnecessary apps"
24,smartphone,4,"Great phone with one major flaw the under display fingerprint sensor is unreliable and often fails to recognize my print after a few weeks of use otherwise excellent device"
25,tablet,5,"Transformed how I take notes in meetings the stylus precision is incredible and the handwriting to text conversion works perfectly battery life exceeds expectations great for students"
26,tablet,4,"Good tablet for media consumption the speakers are surprisingly good for a tablet device though I wish it supported more file formats out of the box"
27,smartwatch,5,"The health features saved my life the ECG detected an irregular heartbeat that turned out to be serious the doctors said early detection made treatment much more effective"
28,smartwatch,4,"Sleep tracking insights helped me improve my rest schedule the app provides detailed analysis though some features require premium subscription not ideal"
29,camera,5,"Perfect travel camera lightweight yet capable the image stabilization is excellent for handheld shots in challenging conditions battery life is impressive for a mirrorless camera"
30,camera,4,"Great second camera for professional work the compact size makes it easy to carry alongside my main gear autofocus performance in video mode is outstanding"
31,laptop,4,"Reliable laptop for everyday use the keyboard is comfortable for typing all day and the trackpad is precise build quality feels solid though design is somewhat bland"
32,laptop,3,"Started experiencing random shutdowns after six months the battery also stopped holding charge degraded performance is not worth the discount price"
33,headphones,5,"Game changing noise cancellation these completely block out office background noise allowing deep focus the comfort level is unmatched and they connect to multiple devices seamlessly"
34,headphones,3,"Sound quality is good but the noise cancellation creates pressure in my ears that gives me headaches uncomfortable for extended use despite good audio performance"
35,smartphone,5,"Finally a phone with all day battery life even with heavy use the processor is incredibly efficient and the software optimization is excellent charging speeds are blazing fast"
36,smartphone,2,"Terrible experience the phone received only one software update before being abandoned security patches stopped coming months ago vulnerable to known exploits not acceptable"
37,tablet,4,"Kids love this tablet the parental controls are comprehensive and the rugged case protects against drops content filtering works well though some ads in apps are concerning"
38,tablet,3,"Too slow for anything beyond basic web browsing apps take forever to load and multitasking is practically impossible marketed as a media tablet but fails at streaming smoothly"
39,smartwatch,5,"Love the always on display feature perfect for quickly checking time during meetings fitness tracking is comprehensive though GPS could be more accurate for running"
40,smartwatch,3,"The fitness tracking data seems inaccurate step counts are often wrong and heart rate readings vary significantly from other devices use it more as a watch than fitness tracker"
