# 新闻文本数据集（英文）
# 来源：基于20 Newsgroups数据集模拟的示例文本

id,category,text
1,sports,"The basketball team secured a victory in the final game of the season last night The star player scored thirty points and made several crucial assists in the final minutes The coach praised the team effort and said they trained hard all season"
2,sports,"Football championship game draws record television audience fans across the country watched the exciting match between two rival teams The game went into overtime and ended with a dramatic last second field goal"
3,technology,"New smartphone released with advanced camera features and longer battery life The device includes artificial intelligence capabilities for photo enhancement and predictive text input Users praise the improved processor speed and sleek design"
4,technology,"Computer scientists develop machine learning algorithm that can translate between hundred of languages The neural network model trained on massive text corpus achieves unprecedented accuracy rates researchers say"
5,science,"Astronomers discover new exoplanet in habitable zone around nearby star The planet appears to have liquid water potential and atmospheric conditions suitable for life space agency officials announced during press conference"
6,science,"Climate scientists report accelerating ice melt in polar regions new satellite data reveals faster than predicted melting rates researchers warn of rising sea levels affecting coastal communities worldwide"
7,politics,"Senator proposes new healthcare reform legislation aimed at reducing prescription drug costs the bill includes provisions for Medicare negotiation powers and generic drug approval fast track"
8,politics,"International trade negotiations resume between major economies tariffs and subsidies remain major sticking points officials from both sides expressed cautious optimism about reaching agreement soon"
9,business,"Stock market reaches new highs amid strong corporate earnings reports technology and healthcare sectors lead gains investors remain optimistic about economic growth outlook for coming quarter"
10,business,"Major automaker announces transition to electric vehicle production the company will invest billions in new manufacturing facilities and battery technology to meet growing demand for ecofriendly cars"
11,entertainment,"Hollywood studio announces upcoming superhero film sequel director confirmed to return for third installment fans eagerly anticipate new characters and special effects in upcoming release"
12,entertainment,"Streaming service reports surge in subscriber numbers the platform gained millions of new users following release of popular original series and exclusive movie premieres"
13,health,"Medical researchers announce breakthrough in cancer treatment new immunotherapy approach shows promising results in clinical trials patients with advanced tumors experienced significant tumor regression"
14,health,"Public health officials warn about flu season approaching vaccination rates remain below target levels doctors recommend getting flu shots early to prevent widespread outbreak"
15,education,"University launches online learning platform to expand access to higher education the program offers courses in data science artificial intelligence and digital marketing certificates awarded upon completion"
16,education,"Study reveals benefits of early childhood education programs children who attended preschool show improved academic performance and social skills compared to those who did not"
17,sports,"Olympic athlete breaks world record in track event personal best time beats previous record by significant margin coach attributes success to improved training regimen and mental preparation"
18,sports,"Tennis tournament finals attract top players from around world prize money reaches record levels tournament organizers announced enhanced spectator facilities and improved broadcasting technology"
19,technology,"Cybersecurity experts warn of new malware threat targeting financial institutions banks urged to update security protocols and patch vulnerable systems to prevent potential data breaches"
20,technology,"Software company releases major update to operating system new features include enhanced privacy controls improved battery management and better integration with smart home devices"
21,science,"Marine biologists document coral reef recovery in protected ocean areas conservation efforts show positive results as ecosystems regenerate after years of decline scientists call for continued protection measures"
22,science,"Physics experiment confirms prediction of subatomic particle behavior Large Hadron Collider data supports theoretical model researchers say finding advances understanding of fundamental forces in universe"
23,politics,"City council approves new public transportation infrastructure project funding secured for electric bus fleet and expanded rail lines officials expect reduced traffic congestion and improved air quality"
24,politics,"International summit addresses global migration challenges world leaders discuss coordinated response to refugee crises and discuss policies for orderly migration management agreement reached on basic principles"
25,business,"Retail chain announces store closures amid shift to online shopping company restructuring plan includes layoffs at headquarters while investing in e-commerce fulfillment centers and delivery infrastructure"
26,business,"Startup raises record funding for sustainable agriculture technology venture capital firms invest in company developing vertical farming solutions to address food security concerns in urban areas"
27,entertainment,"Music festival lineup announced featuring major artists and emerging bands fans eagerly await summer event tickets expected to sell out quickly despite higher prices than previous years"
28,entertainment,"Book adaptation becomes bestseller following successful film release publisher reports surge in print and ebook sales readers praise faithful adaptation of beloved novel to screen"
29,health,"Sleep research reveals connection between quality rest and productivity workers who get adequate sleep show improved job performance and fewer workplace accidents study found"
30,health,"Nutritionists recommend Mediterranean diet for heart health benefits include reduced risk of cardiovascular disease and improved cholesterol levels research supports benefits of olive oil and fish consumption"
31,education,"High school introduces coding classes to prepare students for tech careers curriculum includes programming fundamentals data analysis and cybersecurity awareness local tech companies support program with mentorship"
32,education,"Study abroad programs regain popularity after pandemic restrictions international education organization reports increase in student mobility programs expand to include virtual exchange options"
33,sports,"Professional baseball league implements new safety protocols players and staff required to follow guidelines designed to prevent injuries and ensure fair play umpires given expanded authority to enforce rules"
34,sports,"Esports competition grows into major industry with professional teams and tournaments prize pools rival traditional sports events major brands sponsor teams and broadcast rights deals"
35,technology,"Quantum computing advances bring practical applications closer research teams demonstrate error correction techniques making quantum processors more reliable for specific computational tasks"
36,technology,"Social media platform introduces new content moderation policies company aims to reduce spread of misinformation while balancing free expression concerns user feedback mixed on effectiveness"
37,science,"Geologists discover ancient river system beneath desert surface satellite imagery and ground surveys reveal network of fossilized water channels providing insights into regions prehistoric climate"
38,science," biologists map complete genome of endangered species findings inform conservation strategies and breeding programs wildlife officials optimistic about species recovery prospects"
39,politics,"Environmental protection agency announces stricter emissions standards regulations require power plants and factories to reduce carbon output significantly industries express concerns about compliance costs"
40,politics,"Elections commission releases report on voting security measures officials confirm integrity of recent elections despite attempts at interference recommendations include improved audit procedures"
